Unnamed: 0,county,constituencies
0,MOMBASA,CHANGAMWE
1,MOMBASA,JOMVU
2,MOMBASA,KISAUNI
3,MOMBASA,LIKONI
4,MOMBASA,MVITA (MOMBASA)
5,MOMBASA,NYALI
6,KWALE,KINANGO
7,KWALE,KWALE
8,KWALE,LUNGA LUNGA
9,KWALE,MSAMBWENI
10,KILIFI,BAHARI (KILIFI)
11,KILIFI,GANZE
12,KILIFI,KALOLENI
13,KILIFI,KILIFI SOUTH
14,KILIFI,MAGARINI
15,KILIFI,MALINDI
16,KILIFI,RABAI
17,TANA RIVER,BURA (TANA NORTH)
18,TANA RIVER,TANA DELTA
19,TANA RIVER,TANA RIVER
20,LAMU,LAMU EAST
21,LAMU,LAMU WEST
22,TAITA TAVETA,MWATATE
23,TAITA TAVETA,TAVETA
24,TAITA TAVETA,VOI
25,TAITA TAVETA,WUNDANYI (TAITA)
26,GARISSA,BALAMBALA
27,GARISSA,DADAAB
28,GARISSA,FAFI
29,GARISSA,GARISSA TOWNSHIP
30,GARISSA,HULUGHO
31,GARISSA,IJARA
32,GARISSA,LAGDERA
33,WAJIR,BUNA
34,WAJIR,ELDAS
35,WAJIR,HABASWEIN
36,WAJIR,TARBAJ
37,WAJIR,WAJIR EAST
38,WAJIR,WAJIR NORTH
39,WAJIR,WAJIR SOUTH
40,WAJIR,WAJIR WEST
41,MANDERA,BANISA
42,MANDERA,LAFEY
43,MANDERA,MANDERA CENTRAL
44,MANDERA,MANDERA EAST
45,MANDERA,MANDERA NORTH
46,MANDERA,MANDERA WEST
47,MARSABIT,CHALBI
48,MARSABIT,HORR NORTH
49,MARSABIT,LOIYANGALANI
50,MARSABIT,MARSABIT
51,MARSABIT,MARSABIT SOUTH (LAISAMIS)
52,MARSABIT,MOYALE
53,MARSABIT,SOLOLO
54,ISIOLO,GARBATULA
55,ISIOLO,ISIOLO
56,ISIOLO,MERTI
57,MERU,BUURI
58,MERU,IGEMBE CENTRAL
59,MERU,IGEMBE NORTH
60,MERU,IGEMBE SOUTH
61,MERU,IMENTI NORTH
62,MERU,IMENTI SOUTH
63,MERU,MERU CENTRAL
64,MERU,TIGANIA CENTRAL
65,MERU,TIGANIA EAST
66,MERU,TIGANIA WEST
67,THARAKA-NITHI,MAARA
68,THARAKA-NITHI,MERU SOUTH
69,THARAKA-NITHI,THARAKA NORTH
70,THARAKA-NITHI,THARAKA SOUTH
71,EMBU,EMBU EAST
72,EMBU,EMBU NORTH
73,EMBU,EMBU WEST
74,EMBU,MBEERE NORTH
75,EMBU,MBEERE SOUTH
76,KITUI,IKUTHA
77,KITUI,KATULANI
78,KITUI,KISASI
79,KITUI,KITUI CENTRAL
80,KITUI,KITUI WEST
81,KITUI,KYUSO
82,KITUI,LOWER YATTA
83,KITUI,MATINYANI
84,KITUI,MUMONI
85,KITUI,MUTITO
86,KITUI,MUTOMO
87,KITUI,MWINGI CENTRAL
88,KITUI,MWINGI EAST
89,KITUI,MWINGI WEST /MIGWANI
90,KITUI,NZAMBANI
91,KITUI,TSEIKURU
92,MACHAKOS,ATHI RIVER
93,MACHAKOS,KANGUNDO
94,MACHAKOS,KATHIANI
95,MACHAKOS,MACHAKOS
96,MACHAKOS,MASINGA
97,MACHAKOS,MATUNGULU
98,MACHAKOS,MWALA
99,MACHAKOS,YATTA
100,MAKUENI,KATHONZWENI
101,MAKUENI,KIBWEZI
102,MAKUENI,KILUNGU
103,MAKUENI,MAKINDU
104,MAKUENI,MAKUENI
105,MAKUENI,MBOONI EAST
106,MAKUENI,MBOONI WEST
107,MAKUENI,MUKAA
108,MAKUENI,NZAUI
109,NYANDARUA,KINANGOP
110,NYANDARUA,KIPIPIRI
111,NYANDARUA,MIRANGINE
112,NYANDARUA,NYANDARUA CENTRAL
113,NYANDARUA,NYANDARUA NORTH
114,NYANDARUA,NYANDARUA SOUTH
115,NYANDARUA,NYANDARUA WEST
116,NYERI,KIENI EAST
117,NYERI,KIENI WEST
118,NYERI,MATHIRA EAST
119,NYERI,MATHIRA WEST
120,NYERI,MUKURWE-INI
121,NYERI,NYERI CENTRAL
122,NYERI,NYERI SOUTH
123,NYERI,TETU
124,KIRINYAGA,KIRINYAGA CENTRAL
125,KIRINYAGA,KIRINYAGA EAST
126,KIRINYAGA,KIRINYAGA WEST
127,KIRINYAGA,MWEA EAST
128,KIRINYAGA,MWEA WEST
129,MURANG'A,GATANGA
130,MURANG'A,KAHURO
131,MURANG'A,KANDARA
132,MURANG'A,KANGEMA
133,MURANG'A,KIGUMO
134,MURANG'A,MATHIOYA
135,MURANG'A,MURANG'A EAST
136,MURANG'A,MURANG'A SOUTH
137,KIAMBU,GATUNDU NORTH
138,KIAMBU,GATUNDU SOUTH
139,KIAMBU,GITHUNGURI
140,KIAMBU,JUJA
141,KIAMBU,KABETE
142,KIAMBU,KIAMBAA
143,KIAMBU,KIAMBU
144,KIAMBU,KIKUYU
145,KIAMBU,LARI
146,KIAMBU,LIMURU
147,KIAMBU,RUIRU
148,KIAMBU,THIKA EAST
149,KIAMBU,THIKA WEST
150,TURKANA,KIBISH
151,TURKANA,LOIMA
152,TURKANA,TURKANA CENTRAL
153,TURKANA,TURKANA EAST
154,TURKANA,TURKANA NORTH
155,TURKANA,TURKANA SOUTH
156,TURKANA,TURKANA WEST
157,WEST POKOT,KIPKOMO
158,WEST POKOT,POKOT CENTRAL
159,WEST POKOT,POKOT NORTH
160,WEST POKOT,POKOT SOUTH
161,WEST POKOT,WEST POKOT
162,SAMBURU,SAMBURU CENTRAL
163,SAMBURU,SAMBURU EAST
164,SAMBURU,SAMBURU NORTH
165,TRANS NZOIA,ENDEBES
166,TRANS NZOIA,KIMININI
167,TRANS NZOIA,KWANZA
168,TRANS NZOIA,TRANS NZOIA EAST
169,TRANS NZOIA,TRANS NZOIA WEST
170,UASIN GISHU,ELDORET EAST
171,UASIN GISHU,ELDORET WEST
172,UASIN GISHU,KESSES
173,UASIN GISHU,MOIBEN
174,UASIN GISHU,SOY
175,UASIN GISHU,WARENG
176,ELGEYO MARAKWET,KEIYO
177,ELGEYO MARAKWET,KEIYO SOUTH
178,ELGEYO MARAKWET,MARAKWET EAST
179,ELGEYO MARAKWET,MARAKWET WEST
180,NANDI,CHESUMEI
181,NANDI,NANDI CENTRAL
182,NANDI,NANDI EAST
183,NANDI,NANDI NORTH
184,NANDI,NANDI SOUTH
185,NANDI,TINDERET
186,BARINGO,BARINGO CENTRAL
187,BARINGO,BARINGO NORTH
188,BARINGO,EAST POKOT
189,BARINGO,KOIBATEK
190,BARINGO,MARIGAT
191,BARINGO,MOGOTIO
192,LAIKIPIA,LAIKIPIA CENTRAL
193,LAIKIPIA,LAIKIPIA EAST
194,LAIKIPIA,LAIKIPIA NORTH
195,LAIKIPIA,LAIKIPIA WEST
196,LAIKIPIA,NYAHURURU
197,NAKURU,GILGIL
198,NAKURU,KURESOI
199,NAKURU,KURESOI NORTH
200,NAKURU,MOLO
201,NAKURU,NAIVASHA
202,NAKURU,NAKURU EAST
203,NAKURU,NAKURU NORTH
204,NAKURU,NAKURU WEST
205,NAKURU,NJORO
206,NAKURU,RONGAI
207,NAKURU,SUBUKIA
208,NAROK,NAROK EAST
209,NAROK,NAROK NORTH
210,NAROK,NAROK SOUTH
211,NAROK,NAROK WEST
212,NAROK,TRANS MARA EAST
213,NAROK,TRANS MARA WEST
214,KAJIADO,ISINYA
215,KAJIADO,KAJIADO CENTRAL
216,KAJIADO,KAJIADO NORTH
217,KAJIADO,KAJIADO WEST
218,KAJIADO,LOITOKITOK
219,KAJIADO,MASHUURU
220,KERICHO,BELGUT
221,KERICHO,BURETI
222,KERICHO,KERICHO
223,KERICHO,KIPKELION
224,KERICHO,LONDIANI
225,KERICHO,SIGOWEI / SOIN
226,BOMET,BOMET
227,BOMET,BOMET EAST
228,BOMET,CHEPALUNGU
229,BOMET,KONOIN
230,BOMET,SOTIK
231,KAKAMEGA,BUTERE
232,KAKAMEGA,KAKAMEGA CENTRAL
233,KAKAMEGA,KAKAMEGA EAST
234,KAKAMEGA,KAKAMEGA NORTH
235,KAKAMEGA,KAKAMEGA SOUTH
236,KAKAMEGA,KHWISERO
237,KAKAMEGA,LIKUYANI
238,KAKAMEGA,LUGARI
239,KAKAMEGA,MATETE
240,KAKAMEGA,MATUNGU
241,KAKAMEGA,MUMIAS
242,KAKAMEGA,MUMIAS EAST
243,KAKAMEGA,NAVAKHOLO
244,VIHIGA,EMUHAYA
245,VIHIGA,HAMISI
246,VIHIGA,LUANDA
247,VIHIGA,SABATIA
248,VIHIGA,VIHIGA
249,BUNGOMA,BUMULA
250,BUNGOMA,BUNGOMA CENTRAL
251,BUNGOMA,BUNGOMA EAST
252,BUNGOMA,BUNGOMA NORTH
253,BUNGOMA,BUNGOMA SOUTH
254,BUNGOMA,BUNGOMA WEST
255,BUNGOMA,CHEPTAIS
256,BUNGOMA,KIMILILI
257,BUNGOMA,MT ELGON
258,BUNGOMA,WEBUYE WEST
259,BUSIA,BUNYALA
260,BUSIA,BUSIA
261,BUSIA,BUTULA
262,BUSIA,NAMBALE
263,BUSIA,SAMIA
264,BUSIA,TESO NORTH
265,BUSIA,TESO SOUTH
266,SIAYA,BONDO
267,SIAYA,GEM
268,SIAYA,RARIEDA
269,SIAYA,SIAYA
270,SIAYA,UGENYA
271,SIAYA,UGUNJA
272,KISUMU,KISUMU CENTRAL
273,KISUMU,KISUMU EAST
274,KISUMU,KISUMU WEST
275,KISUMU,MUHORONI
276,KISUMU,NYAKACH
277,KISUMU,NYANDO
278,KISUMU,SEME
279,HOMA BAY,HOMA BAY
280,HOMA BAY,MBITA
281,HOMA BAY,NDHIWA
282,HOMA BAY,RACHUONYO EAST
283,HOMA BAY,RACHUONYO NORTH
284,HOMA BAY,RACHUONYO SOUTH
285,HOMA BAY,RANGWE
286,HOMA BAY,SUBA
287,MIGORI,AWENDO
288,MIGORI,KURIA EAST
289,MIGORI,KURIA WEST
290,MIGORI,MIGORI
291,MIGORI,NYATIKE
292,MIGORI,RONGO
293,MIGORI,SUNA WEST
294,MIGORI,URIRI
295,KISII,GUCHA
296,KISII,GUCHA SOUTH
297,KISII,KENYENYA
298,KISII,KISII CENTRAL
299,KISII,KISII SOUTH
300,KISII,KITUTU CENTRAL
301,KISII,MARANI
302,KISII,MASABA SOUTH
303,KISII,NYAMACHE
304,KISII,SAMETA
305,NYAMIRA,BORABU
306,NYAMIRA,MANGA
307,NYAMIRA,MASABA NORTH
308,NYAMIRA,NYAMIRA NORTH
309,NYAMIRA,NYAMIRA SOUTH
310,NAIROBI,DAGORETTI
311,NAIROBI,EMBAKASI
312,NAIROBI,KAMUKUNJI
313,NAIROBI,KASARANI
314,NAIROBI,KIBRA
315,NAIROBI,LANGATA
316,NAIROBI,MAKADARA
317,NAIROBI,MATHARE
318,NAIROBI,NJIRU
319,NAIROBI,STAREHE
320,NAIROBI,WESTLANDS
2,NAIROBI,DAGORETTI NORTH
3,NAIROBI,ROYSAMBU
6,NAIROBI,DAGORETTI SOUTH
8,NAIROBI,RUARAKA
12,MOMBASA,MVITA
17,KWALE,MATUGA
25,TANA RIVER,GALOLE
26,TANA RIVER,BURA
27,TANA RIVER,GARSEN
30,TAITA TAVETA,WUNDANYI
45,MANDERA,MANDERA SOUTH
48,MANDERA,BANISSA
49,MARSABIT,NORTH HORR
51,MARSABIT,LAISAMIS
52,MARSABIT,SAKU
53,ISIOLO,ISIOLO NORTH
54,ISIOLO,ISIOLO SOUTH
55,MERU,NORTH IMENTI
57,MERU,SOUTH IMENTI
62,MERU,CENTRAL IMENTI
64,THARAKA - NITHI,MAARA
65,THARAKA - NITHI,THARAKA
66,THARAKA - NITHI,CHUKA/IGAMBANG'OMBE
67,EMBU,RUNYENJES
69,EMBU,MANYATTA
71,KITUI,KITUI EAST
73,KITUI,KITUI RURAL
74,KITUI,KITUI SOUTH
77,MACHAKOS,MACHAKOS TOWN
82,MACHAKOS,MAVOKO
86,NYANDARUA,NDARAGWA
87,NYERI,KIENI
88,NYERI,MATHIRA
89,NYERI,OTHAYA
91,NYERI,MUKURWEINI
92,NYERI,NYERI TOWN
93,KIRINYAGA,GICHUGU
95,KIRINYAGA,NDIA
96,KIRINYAGA,MWEA
99,MURANG'A,MARAGWA
102,MURANG'A,KIHARU
107,KIAMBU,THIKA TOWN
122,WEST POKOT,KAPENGURIA
123,WEST POKOT,SIGOR
124,WEST POKOT,KACHELIBA
126,WEST POKOT,MARAKWET WEST
128,SAMBURU,SAMBURU WEST
130,UASIN GISHU,AINABKOI
133,UASIN GISHU,TURBO
135,UASIN GISHU,KAPSERET
136,ELEGEYO-MARAKWET,MARAKWET EAST
137,ELGEYO-MARAKWET,KEIYO NORTH
138,ELEGEYO-MARAKWET,KEIYO SOUTH
139,NANDI,MOSOP
140,NANDI,NANDI HILLS
141,NANDI,EMGWEN
143,NANDI,ALDAI
148,BARINGO,ELDAMA RAVINE
149,BARINGO,BARINGO SOUTH
150,BARINGO,TIATY
153,NAKURU,KURESOI SOUTH
155,NAKURU,NAKURU TOWN EAST
159,NAKURU,NAKURU TOWN WEST
162,NAKURU,BAHATI
165,NAROK,KILGORIS
167,NAROK,EMURUA DIKIRR
171,KAJIADO,KAJIADO EAST
172,KAJIADO,KAJIADO SOUTH
174,MAKUENI,KIBWEZI WEST
175,MAKUENI,MBOONI
177,MAKUENI,KAITI
178,MAKUENI,KILOME
179,MAKUENI,KIBWEZI EAST
181,KERICHO,KIPKELION WEST
182,KERICHO,SIGOWET/SOIN
183,KERICHO,KIPKELION EAST
184,KERICHO,AINAMOI
186,KAKAMEGA,SHINYALU
190,KAKAMEGA,MALAVA
191,KAKAMEGA,IKOLOMANI
192,KAKAMEGA,LURAMBI
193,KAKAMEGA,MUMIAS WEST
201,BUNGOMA,KANDUYI
202,BUNGOMA,MT. ELGON
204,BUNGOMA,SIRISIA
206,BUNGOMA,TONGAREN
207,BUNGOMA,WEBUYE EAST
208,BUNGOMA,KABUCHAI
209,BUNGOMA,WEBUTE WEST
212,BUSIA,FUNYULA
214,BUSIA,MATAYOS
216,BUSIA,BUDALANGI
222,SIAYA,ALEGO USONGA
224,HOMA BAY,KASIPUL
226,HOMA BAY,KARACHUONYO
227,HOMA BAY,KABONDO KASIPUL
230,HOMA BAY,HOMA BAY TOWN
237,KISII,NYARIBARI CHACHE
238,KISII,KITUTU CHACHE NORTH
239,KISII,NYARIBARI MASABA
240,KISII,BOMACHOGE CHACHE
241,KISII,BOBASI
242,KISII,BOMACHOGE BORABU
243,KISII,BONCHARI
244,KISII,KITUTU CHACHE SOUTH
245,KISII,SOUTH MUGIRANGO
250,BOMET,BOMET CENTRAL
251,NYAMIRA,NORTH MUGIRANGO
252,NYAMIRA,WEST MUGIRANGO
253,NYAMIRA,KITUTU MASABA
262,TRANS NZOIA,ENDEBESS
264,TRANS NZOIA,SABOTI
265,TRANS NZOIA,CHERANGANY
270,NAIROBI,EMBAKASI WEST
271,NAIROBI,EMBAKASI EAST
272,NAIROBI,EMBAKASI NORTH
273,NAIROBI,EMBAKASI CENTRAL
274,NAIROBI,EMBAKASI SOUTH
276,KITUI,MWINGI WEST
278,KITUI,MWINGI NORTH
279,NYANDARUA,OL JOROK
280,NYANDARUA,OL KALOU
281,MIGORI,SUNA EAST
0,KILIFI,KILIFI NORTH
1,KILIFI,CHONYI
2,KILIFI,KAUMA
