region_name,male_population,female_population,intersex_population,total_population,population_density
Baringo, 336322 , 330428 ,13, 666763 , 61 
Bomet, 434287 , 441379 ,23, 875689 , 346 
Bungoma, 812146 , 858389 ,35, 1670570 , 552 
Busia, 426252 , 467401 ,28, 893681 , 527 
Elgeyo-Marakwet, 227317 , 227151 ,12, 454480 , 150 
Embu, 304208 , 304367 ,24, 608599 , 216 
Garissa, 458975 , 382344 ,34, 841353 , 19 
Homa Bay, 539560 , 592367 ,23, 1131950 , 359 
Isiolo, 139510 , 128483 ,9, 268002 , 11 
Kajiado, 557098 , 560704 ,38, 1117840 , 51 
Kakamega, 897133 , 970406 ,40, 1867579 , 618 
Kericho, 450751 , 451008 ,28, 901777 , 370 
Kiambu, 1187146 , 1230454 ,135, 2417735 , 952 
Kilifi, 704089 , 749673 ,25, 1453787 , 116 
Kirinyaga, 302011 , 308369 ,31, 610411 , 413 
Kisii, 605784 , 661038 ,38, 1266860 , 958 
Kisumu, 560942 , 594609 ,23, 1155574 , 554 
Kitui, 549003 , 587151 ,33, 1136187 , 37 
Kwale, 425121 , 441681 ,18, 866820 , 105 
Laikipia, 259440 , 259102 ,18, 518580 , 54 
Lamu, 76103 , 67813 ,4, 143920 , 23 
Machakos, 710707 , 711191 ,34, 1421932 , 235 
Makueni, 489691 , 497942 ,20, 987653 , 121 
Mandera, 434976 , 432444 ,37, 867457 , 33 
Marsabit, 243548 , 216219 ,18, 459785 , 6 
Meru, 767698 , 777975 ,41, 1545714 , 221 
Migori, 536187 , 580214 ,35, 1116436 , 427 
Mombasa, 610257 , 598046 ,30, 1208333 , 5495 
Murang'a, 523940 , 532669 ,31, 1056640 , 419 
Nairobi, 2192452 , 2204376 ,245, 4397073 , 6247 
Nakuru, 1077272 , 1084835 ,95, 2162202 , 290 
Nandi, 441259 , 444430 ,22, 885711 , 310 
Narok, 579042 , 578805 ,26, 1157873 , 65 
Nyamira, 290907 , 314656 ,13, 605576 , 675 
Nyandarua, 315022 , 323247 ,20, 638289 , 194 
Nyeri, 374288 , 384845 ,31, 759164 , 228 
Samburu, 156774 , 153546 ,7, 310327 , 15 
Siaya, 471669 , 521496 ,18, 993183 , 393 
Taita Taveta, 173337 , 167327 ,7, 340671 , 20 
Tana River, 158550 , 157391 ,2, 315943 , 8 
Tharaka-Nithi, 193764 , 199406 ,7, 393177 , 153 
Trans Nzoia, 489107 , 501206 ,28, 990341 , 397 
Turkana, 478087 , 448868 ,21, 926976 , 14 
Uasin Gishu, 580269 , 582889 ,28, 1163186 , 343 
Vihiga, 283678 , 306323 ,12, 590013 , 1047 
Wajir, 415374 , 365840 ,49, 781263 , 14 
West Pokot, 307013 , 314213 ,15, 621241 , 68 
CHANGAMWE,68761,63121,,131882,7457
JOMVU,83002,80410,,163415,4432
KISAUNI,146748,145176,,291930,3328
LIKONI,126962,123392,,250358,6187
MVITA,75565,78601,,154171,10543
NYALI,109219,107346,,216577,9610
KINANGO,45413,48806,,94220,58
LUNGA LUNGA,97174,101245,,198423,72
MATUGA,95831,98419,,194252,188
MSAMBWENI,89206,88480,,177690,432
SAMBURU,97497,104731,,202235,83
CHONYI,29527,32807,,62335,324
GANZE,66921,76981,,143906,45
KALOLENI,92614,101063,,193682,274
KAUMA,10965,11673,,22638,125
KILIFI NORTH,86986,91836,,178824,676
KILIFI SOUTH,101852,104897,,206753,712
MAGARINI,93302,98308,,191610,37
MALINDI,163351,169866,,333226,147
RABAI,58571,62242,,120813,581
TANA DELTA,55716,54924,,110640,7
TANA NORTH,59123,57632,,116757,9
TANA RIVER,43711,44835,,88546,10
LAMU EAST,11675,10583,,22258,10
LAMU WEST,64428,57230,,121662,31
MWATATE,41426,40231,,81659,30
TAITA,28386,27573,,55959,117
TAVETA,47410,43812,,91222,14
VOI,56115,55711,,111831,15
BALAMBALA,20277,11979,,32257,9
DADAAB,99059,86185,,185252,29
FAFI,72617,61413,,134040,9
GARISSA,83460,80449,,163914,49
HULUGHO,78081,55898,,133984,17
IJARA,80458,61129,,141591,58
LAGDERA,25023,25291,,50315,8
BUNA,26796,23088,,49886,13
ELDAS,45028,44069,,89104,20
HABASWEIN,94613,79505,,174134,16
TARBAJ,26856,29776,,56637,6
WAJIR EAST,59359,51292,,110654,27
WAJIR NORTH,31990,30209,,62206,15
WAJIR SOUTH,64947,51864,,116814,11
WAJIR WEST,65785,56037,,121828,13
MANDERA WEST,48166,50130,,98300,24
BANISA,78301,74288,,152598,39
KOTULO,35799,36593,,72394,29
LAFEY,40476,42976,,83457,22
MANDERA  CENTRAL,71688,85527,,157220,39
MANDERA EAST,83538,76095,,159638,64
MANDERA NORTH,77008,66835,,143850,28
LOIYANGALANI,17659,18051,,35713,3
MARSABIT  CENTRAL,40956,38214,,79181,37
MARSABIT NORTH,30091,24205,,54297,3
MARSABIT SOUTH,33215,32161,,65376,8
MOYALE,56440,52508,,108949,33
NORTH HORR,41719,29726,,71447,4
SOLOLO,23468,21354,,44822,7
GARBATULLA,54661,45068,,99730,10
ISIOLO,60414,60647,,121066,45
MERTI,24435,22768,,47206,4
BUURI EAST,38101,38497,,76598,230
BUURI WEST,40496,40264,,80762,126
IGEMBE CENTRAL,111208,110200,,221412,367
IGEMBE NORTH,83364,85949,,169317,152
IGEMBE SOUTH,80192,81446,,161646,633
IMENTI NORTH,88506,89056,,177567,767
IMENTI SOUTH,103338,103162,,206506,494
MERU CENTRAL,66920,66894,,133818,355
TIGANIA CENTRAL,51814,52916,,104730,441
TIGANIA EAST,35352,37194,,72549,142
TIGANIA WEST,67715,72241,,139961,351
MERU NATIONAL PARK,283,102,,385,
MT. KENYA FOREST,409,54,,463,
THARAKA-NITHI,193764,199406,,393177,153
IGAMBANG'OMBE,26464,26745,,53210,165
MAARA,57689,57205,,114894,431
MERU SOUTH,44923,46155,,91080,656
THARAKA NORTH,28290,30053,,58345,70
THARAKA SOUTH,36190,39058,,75250,118
MOUNT KENYA FOREST,208,190,,398,1
EMBU EAST,64571,64991,,129564,512
EMBU NORTH,39665,39888,,79556,719
EMBU WEST,63125,63966,,127100,804
MBEERE SOUTH,83311,80159,,163476,125
MBEERE NORTH,53517,55360,,108881,139
MOUNT KENYA FOREST,19,3,,22,
IKUTHA,39986,42976,,82964,9
KATULANI,23150,23957,,47108,146
KISASI,22646,23496,,46142,157
KITUI CENTRAL,52123,53863,,105991,251
KITUI WEST,33887,36983,,70871,170
KYUSO,36789,40077,,76867,30
LOWER YATTA,31701,31628,,63329,53
MATINYANI,23362,24448,,47811,181
MIGWANI,37525,41726,,79255,125
MUMONI,13748,15596,,29344,48
MUTITU,26388,28896,,55287,12
MUTITU NORTH,10337,10877,,21215,39
MUTOMO,54819,58531,,113356,40
MWINGI CENTRAL,52539,56174,,108713,95
MWINGI EAST,40314,44820,,85139,25
NZAMBANI,22929,23857,,46788,146
THAGICU,7141,7994,,15136,42
TSEIKURU,19619,21252,,40871,30
ATHI RIVER,164322,158172,,322499,386
KALAMA,26764,27692,,54462,113
KANGUNDO,48697,49219,,97917,565
KATHIANI,54910,56976,,111890,548
MACHAKOS,85486,85114,,170606,609
MASINGA,73519,75001,,148522,106
MATUNGULU,81145,80407,,161557,278
MWALA,90427,91466,,181896,179
YATTA,85437,87144,,172583,162
KATHONZWENI,39335,40442,,79780,91
KIBWEZI,98477,98517,,197000,63
KILUNGU,29019,31932,,60952,395
MAKINDU,42204,42742,,84946,100
MAKUENI,65418,64955,,130375,214
MBOONI EAST,48152,49601,,97756,141
MBOONI WEST,49434,53159,,102594,379
MUKAA,54481,53068,,107549,134
NZAUI,63171,63526,,126701,163
KINANGOP,54727,56679,,111410,379
NYANDARUA  SOUTH,46157,47708,,93870,299
MIRANGINE,33447,33766,,67214,274
KIPIPIRI,46113,47740,,93855,206
NYANDARUA  CENTRAL,37329,37931,,75262,217
NYANDARUA  WEST,48752,49209,,97965,255
NYANDARUA  NORTH,48486,50210,,98698,187
ABERDARE NATIONAL PARK,11,4,,15,
TETU,39293,41155,,80453,372
KIENI EAST,55360,55012,,110376,246
KIENI WEST,43843,44677,,88525,171
MATHIRA EAST,48070,50992,,99065,760
MATHIRA WEST,29480,30412,,59895,369
NYERI SOUTH,44115,46964,,91081,538
MUKURWE-INI,43975,45156,,89137,498
NYERI CENTRAL,69955,70380,,140338,837
MT. KENYA FOREST,123,65,,188,
ABERDARE FOREST,74,32,,106,
KIRINYAGA  CENTRAL,60118,62617,,122740,800
KIRINYAGA EAST,67037,68514,,135559,585
KIRINYAGA WEST,56154,58502,,114660,552
MWEA EAST,66432,66114,,132554,437
MWEA WEST,52228,52594,,104828,438
MOUNT KENYA FOREST,42,28,,70,
MURANG'A EAST,54665,55645,,110311,458
KANGEMA,39582,40862,,80447,463
MATHIOYA,45454,47359,,92814,523
KAHURO,43352,44834,,88193,521
MURANG'A SOUTH,91732,93087,,184824,405
GATANGA,94437,93548,,187989,354
KIGUMO,67989,68929,,136921,561
KANDARA,86698,88393,,175098,746
ABERDARE FOREST,31,12,,43,
GATUNDU NORTH,54189,55678,,109870,384
GATUNDU SOUTH,60384,61714,,122103,631
GITHUNGURI,82037,83187,,165232,948
JUJA,148446,152480,,300948,880
KABETE,97794,101845,,199653,3289
KIAMBAA,115690,120695,,236400,2595
KIAMBU,69661,76225,,145903,1483
KIKUYU,90919,96198,,187122,1082
LARI,67061,68238,,135303,313
LIMURU,79632,79682,,159314,559
RUIRU,180947,190144,,371111,1846
THIKA EAST,19688,19264,,38956,354
THIKA WEST,120698,125104,,245820,2689
KIBISH,18651,18117,,36769,4
LOIMA,54341,53453,,107795,12
TURKANA  CENTRAL,93145,92160,,185305,29
TURKANA EAST,76871,61643,,138526,12
TURKANA NORTH,32810,32408,,65218,9
TURKANA SOUTH,78402,75329,,153736,22
TURKANA WEST,123867,115758,,239627,14
KIPKOMO,50923,51703,,102633,134
POKOT CENTRAL,59682,59331,,119016,58
POKOT NORTH,64780,69702,,134485,34
POKOT SOUTH,39808,40851,,80661,150
WEST POKOT,91820,92626,,184446,99
SAMBURU  CENTRAL,83633,81307,,164942,45
SAMBURU EAST,38211,39782,,77994,8
SAMBURU NORTH,34930,32457,,67391,9
TRANS NZOIA WEST,101198,101174,,202377,569
TRANS NZOIA EAST,113498,116029,,229538,365
KWANZA,100234,103584,,203821,438
ENDEBESS,56090,55689,,111782,165
KIMININI,118087,124730,,242823,662
AINABKOI,68348,69835,,138184,286
KAPSERET,99650,98845,,198499,663
KESSES,74301,74493,,148798,199
MOIBEN,90309,91027,,181338,236
SOY,114082,115007,,229094,343
TURBO,133579,133682,,267273,620
KEIYO NORTH,49601,49574,,99176,183
KEIYO SOUTH,60919,59827,,120750,134
MARAKWET EAST,47849,49190,,97041,114
MARAKWET WEST,68948,68560,,137513,186
CHESUMEI,80949,83180,,164133,346
NANDI CENTRAL,73291,74255,,147553,407
NANDI EAST,59899,59271,,119173,304
NANDI NORTH,82512,83656,,166171,274
NANDI SOUTH,85718,87029,,172750,378
TINDERET,58890,57039,,115931,208
BARINGO CENTRAL,48120,48829,,96951,123
BARINGO NORTH,52369,52500,,104871,64
EAST POKOT,40462,39459,,79923,32
KOIBATEK,65295,64238,,129535,138
MARIGAT,45706,45246,,90955,65
MOGOTIO,46014,45088,,91104,66
TIATY EAST,38356,35068,,73424,34
LAKE BARINGO,,,,,
LAIKIPIA CENTRAL,47888,47705,,95594,78
LAIKIPIA EAST,52078,50732,,102815,67
LAIKIPIA NORTH,18067,18116,,36184,14
LAIKIPIA WEST,65158,64102,,129263,38
NYAHURURU,76249,78447,,154704,190
GILGIL,92955,92247,,185209,172
KURESOI NORTH,87472,87599,,175074,283
KURESOI SOUTH,78204,77117,,155324,263
MOLO,78129,78598,,156732,324
NAIVASHA,179222,176132,,355383,181
NAKURU TOWN EAST,92956,100960,,193926,840
NAKURU NORTH,106155,111880,,218050,563
NAKURU TOWN WEST,101797,96854,,198661,2764
NJORO,118361,120408,,238773,341
RONGAI,99976,99922,,199906,202
SUBUKIA,42045,43118,,85164,212
NAROK EAST,58699,56617,,115323,56
NAROK NORTH,128024,123829,,251862,117
NAROK SOUTH,118441,120029,,238472,52
NAROK WEST,97085,98198,,195287,35
TRANS MARA EAST,54545,56637,,111183,359
TRANS MARA WEST,122220,123491,,245714,97
MAU FOREST,28,4,,32,
ISINYA,105607,104860,,210473,196
KAJIADO CENTRAL,81514,80343,,161862,38
KAJIADO NORTH,150675,155908,,306596,2773
KAJIADO WEST,91607,91237,,182849,23
LOITOKITOK,94613,97225,,191846,30
MASHUURU,33082,31131,,64214,29
BELGUT,72508,72564,,145072,549
BURETI,98823,100642,,199470,622
KERICHO EAST,86671,83947,,170625,709
KIPKELION,61066,61460,,122530,350
LONDIANI,68570,69000,,137580,344
SOIN SIGOWET,63103,63395,,126500,271
MAU FOREST,,,,,
TINDERET FOREST,194,,,,
BOMET EAST,71095,73172,,144275,473
CHEPALUNGU,79921,84912,,164837,358
KONOIN,83120,80384,,163507,417
SOTIK,112369,115482,,227855,419
BOMET CENTRAL,87782,87429,,175215,613
MAU FOREST,,,,,
BUTERE,73634,80463,,154100,734
KAKAMEGA CENTRAL,92774,95432,,188212,1212
KAKAMEGA EAST,80853,86784,,167641,402
KAKAMEGA NORTH,115511,122814,,238330,566
KAKAMEGA SOUTH,53219,58524,,111743,764
KHWISERO,53670,59803,,113476,779
LIKUYANI,73710,78341,,152055,481
LUGARI,59135,63593,,122728,483
MATETE,31749,34423,,66172,644
MATUNGU,78793,88143,,166940,606
MUMIAS EAST,55895,60953,,116851,778
MUMIAS WEST,54915,60438,,115354,706
NAVAKHOLO,73275,80695,,153977,594
EMUHAYA,46507,50633,,97141,1091
VIHIGA,45788,49501,,95292,1058
SABATIA,62944,68683,,131628,1181
LUANDA,51525,55165,,106694,1265
HAMISI,76901,82337,,159241,1013
KAKAMEGA FOREST,13,4,,17,1
BUMULA,103368,112523,,215892,625
BUNGOMA  CENTRAL,86302,91438,,177748,764
BUNGOMA EAST,55775,58771,,114548,702
BUNGOMA NORTH,58790,62526,,121317,633
BUNGOMA SOUTH,139705,148055,,287765,896
CHEPTAIS,67717,68312,,136035,610
KIMILILI,78560,83475,,162038,902
MT ELGON,38977,39893,,78873,624
BUNGOMA WEST,58225,61649,,119875,568
TONGAREN,48685,51657,,100343,542
WEBUYE WEST,74180,78331,,152515,638
MT ELGON FOREST,1862,1759,,3621,6
BUNYALA,41465,44511,,85977,447
BUSIA,69034,73373,,142408,727
BUTULA,65136,75195,,140334,568
NAMBALE,52900,58732,,111636,469
SAMIA,50821,56341,,107176,408
TESO NORTH,66412,71619,,138034,529
TESO SOUTH,80484,87630,,168116,555
SIAYA,105906,118433,,224343,375
GEM,85696,94092,,179792,444
UGENYA,62624,71726,,134354,415
UGUNJA,48912,55329,,104241,519
BONDO,95962,101917,,197883,330
RARIEDA,72569,79999,,152570,379
KISUMU EAST,108304,112689,,220997,1560
KISUMU CENTRAL,84155,89985,,174145,4737
KISUMU WEST,85697,87121,,172821,827
SEME,57658,64007,,121667,454
MUHORONI,76770,77345,,154116,234
NYANDO,77121,84380,,161508,362
NYAKACH,71237,79082,,150320,460
HOMA BAY,55756,61681,,117439,645
NDHIWA,103706,114422,,218136,306
RACHUONYO  NORTH,85409,93273,,178686,410
RACHUONYO  EAST,57709,64111,,121822,486
RACHUONYO  SOUTH,61663,69151,,130814,511
RANGWE,55404,62325,,117732,429
SUBA NORTH,60530,64406,,124938,307
SUBA SOUTH,59383,62998,,122383,193
AWENDO,56348,60939,,117290,459
KURIA EAST,46969,49894,,96872,516
KURIA WEST,101090,107417,,208513,527
NYATIKE,83989,92164,,176162,260
RONGO,59257,65329,,124587,584
SUNA EAST,58977,63694,,122674,598
SUNA WEST,61430,67459,,128890,448
URIRI,68127,73318,,141448,361
ETAGO,40137,43647,,83787,773
GUCHA,39631,44108,,83740,1020
GUCHA SOUTH,40022,43598,,83623,878
KENYENYA,62859,68878,,131740,930
KISII CENTRAL,81330,85573,,166906,1229
KISII SOUTH,64514,70615,,135134,1054
KITUTU CENTRAL,74608,79561,,154175,1537
MARANI,50598,56864,,107464,837
MASABA SOUTH,58143,64248,,122396,759
NYAMACHE,62113,68782,,130898,805
SAMETA,31829,35164,,66997,847
BORABU,36736,36431,,73167,296
MANGA,44868,49339,,94209,845
MASABA NORTH,52884,58974,,111860,789
NYAMIRA NORTH,80314,86947,,167267,775
NYAMIRA SOUTH,76105,82965,,159073,876
DAGORETTI,217651,216526,,434208,14908
EMBAKASI,492476,496270,,988808,11460
KAMUKUNJI,136670,131599,,268276,25455
KASARANI,381234,399385,,780656,9063
KIBRA,94199,91569,,185777,15311
LANG'ATA,96698,100774,,197489,911
MAKADARA,96369,93157,,189536,16150
MATHARE,106522,100028,,206564,68940
NJIRU,307642,318809,,626482,4821
STAREHE,109173,101238,,210423,10205
WESTLANDS,153818,155021,,308854,3167
